wavelength	transmission
3400	-0.005
3410	-0.005
3420	-0.005
3430	-0.005
3440	-0.01
3450	-0.005
3460	0
3470	0
3480	0.005
3490	0.025
3500	0.06
3510	0.12
3520	0.205
3530	0.355
3540	0.565
3550	0.87
3560	1.275
3570	1.795
3580	2.435
3590	3.205
3600	4.115
3610	5.155
3620	6.3
3630	7.545
3640	8.9
3650	10.34
3660	11.85
3670	13.415
3680	14.995
3690	16.63
3700	18.245
3710	19.885
3720	21.515
3730	23.09
3740	24.68
3750	26.24
3760	27.725
3770	29.195
3780	30.63
3790	32.1
3800	33.44
3810	34.74
3820	36.04
3830	37.25
3840	38.44
3850	39.605
3860	40.705
3870	41.78
3880	42.81
3890	43.81
3900	44.78
3910	45.685
3920	46.585
3930	47.42
3940	48.215
3950	49.005
3960	49.73
3970	50.445
3980	51.13
3990	51.79
4000	52.405
4010	52.975
4020	53.565
4030	54.09
4040	54.655
4050	55.14
4060	55.675
4070	56.145
4080	56.615
4090	57.09
4100	57.525
4110	57.935
4120	58.325
4130	58.69
4140	59.085
4150	59.45
4160	59.795
4170	60.14
4180	60.5
4190	60.83
4200	61.155
4210	61.435
4220	61.695
4230	61.955
4240	62.12
4250	62.28
4260	62.505
4270	62.615
4280	62.765
4290	62.92
4300	63.035
4310	63.165
4320	63.22
4330	63.32
4340	63.355
4350	63.405
4360	63.445
4370	63.455
4380	63.485
4390	63.525
4400	63.535
4410	63.485
4420	63.445
4430	63.395
4440	63.325
4450	63.145
4460	62.955
4470	62.765
4480	62.525
4490	62.22
4500	61.94
4510	61.645
4520	61.39
4530	61.1
4540	60.785
4550	60.47
4560	60.11
4570	59.675
4580	59.24
4590	58.73
4600	58.2
4610	57.625
4620	56.955
4630	56.255
4640	55.445
4650	54.63
4660	53.655
4670	52.66
4680	51.565
4690	50.415
4700	49.185
4710	47.935
4720	46.68
4730	45.36
4740	44.06
4750	42.72
4760	41.355
4770	39.995
4780	38.63
4790	37.285
4800	35.875
4810	34.43
4820	33.015
4830	31.6
4840	30.19
4850	28.84
4860	27.485
4870	26.19
4880	24.93
4890	23.725
4900	22.565
4910	21.47
4920	20.43
4930	19.45
4940	18.525
4950	17.675
4960	16.86
4970	16.13
4980	15.425
4990	14.725
5000	14.015
5010	13.3
5020	12.555
5030	11.79
5040	11.005
5050	10.225
5060	9.465
5070	8.755
5080	8.1
5090	7.485
5100	6.93
5110	6.425
5120	5.955
5130	5.505
5140	5.09
5150	4.68
5160	4.295
5170	3.935
5180	3.585
5190	3.26
5200	2.945
5210	2.66
5220	2.395
5230	2.15
5240	1.925
5250	1.725
5260	1.545
5270	1.39
5280	1.255
5290	1.14
5300	1.035
5310	0.945
5320	0.87
5330	0.805
5340	0.755
5350	0.71
5360	0.675
5370	0.645
5380	0.625
5390	0.605
5400	0.59
5410	0.59
5420	0.59
5430	0.59
5440	0.6
5450	0.62
5460	0.64
5470	0.665
5480	0.7
5490	0.74
5500	0.79
5510	0.845
5520	0.9
5530	0.96
5540	1.015
5550	1.07
5560	1.12
5570	1.16
5580	1.19
5590	1.2
5600	1.205
5610	1.195
5620	1.175
5630	1.15
5640	1.105
5650	1.06
5660	1
5670	0.94
5680	0.865
5690	0.795
5700	0.72
5710	0.64
5720	0.57
5730	0.5
5740	0.43
5750	0.37
5760	0.315
5770	0.265
5780	0.22
5790	0.18
5800	0.145
5810	0.12
5820	0.095
5830	0.075
5840	0.065
5850	0.05
5860	0.035
5870	0.03
5880	0.025
5890	0.025
5900	0.02
5910	0.015
5920	0.015
5930	0.015
5940	0.015
5950	0.01
5960	0.015
5970	0.01
5980	0.01
5990	0.015
6000	0.025
