wavelength	transmission
6700	-0.005
6710	-0.005
6720	-0.005
6730	-0.005
6740	-0.005
6750	-0.005
6760	-0.01
6770	-0.005
6780	-0.005
6790	-0.005
6800	-0.01
6810	-0.005
6820	-0.005
6830	-0.005
6840	-0.005
6850	-0.005
6860	-0.005
6870	-0.005
6880	-0.005
6890	-0.005
6900	-0.005
6910	-0.005
6920	0
6930	0
6940	0
6950	0.01
6960	0.02
6970	0.045
6980	0.08
6990	0.15
7000	0.245
7010	0.39
7020	0.6
7030	0.89
7040	1.285
7050	1.795
7060	2.445
7070	3.255
7080	4.23
7090	5.39
7100	6.77
7110	8.31
7120	10.045
7130	11.965
7140	14.075
7150	16.315
7160	18.745
7170	21.295
7180	23.9
7190	26.68
7200	29.54
7210	32.42
7220	35.3
7230	38.23
7240	41.195
7250	44.01
7260	46.81
7270	49.55
7280	52.295
7290	54.96
7300	57.475
7310	60.025
7320	62.305
7330	64.635
7340	66.705
7350	68.77
7360	70.72
7370	72.545
7380	74.25
7390	75.99
7400	77.355
7410	78.865
7420	80.21
7430	81.505
7440	82.7
7450	83.71
7460	84.8
7470	85.705
7480	86.655
7490	87.385
7500	87.985
7510	88.81
7520	89.505
7530	90.125
7540	90.49
7550	90.905
7560	91.39
7570	92.08
7580	92.275
7590	92.705
7600	92.98
7610	93.245
7620	93.615
7630	93.735
7640	93.925
7650	94.265
7660	94.445
7670	94.485
7680	94.865
7690	94.865
7700	95.085
7710	95.13
7720	95.375
7730	95.48
7740	95.49
7750	95.55
7760	95.525
7770	95.795
7780	95.84
7790	95.835
7800	95.84
7810	95.88
7820	95.9
7830	95.845
7840	96.005
7850	95.945
7860	95.82
7870	96.01
7880	96.09
7890	96.07
7900	95.975
7910	96.105
7920	96.05
7930	96.125
7940	96.19
7950	96
7960	95.93
7970	96.075
7980	96.155
7990	95.985
8000	96.11
8010	95.895
8020	96.07
8030	96.015
8040	95.805
8050	95.745
8060	95.84
8070	95.905
8080	95.935
8090	95.6
8100	95.825
8110	95.63
8120	95.76
8130	95.6
8140	95.705
8150	95.785
8160	95.69
8170	95.565
8180	95.565
8190	95.29
8200	95.43
8210	95.435
8220	95.295
8230	95.445
8240	95.375
8250	95.3
8260	95.21
8270	95.345
8280	95.27
8290	95.075
8300	95.04
8310	94.995
8320	95.03
8330	94.925
8340	94.83
8350	94.595
8360	94.76
8370	94.725
8380	94.54
8390	94.725
8400	94.565
8410	94.475
8420	94.425
8430	94.45
8440	94.14
8450	94.23
8460	94.175
8470	94.115
8480	93.955
8490	94.015
8500	93.54
8510	93.795
8520	93.68
8530	93.67
8540	93.37
8550	93.81
8560	93.41
8570	93.875
8580	93.38
8590	93.11
8600	93.04
8610	92.305
