wavelength	transmission
5400	-0.005
5410	-0.005
5420	-0.005
5430	0.005
5440	0.005
5450	0.02
5460	0.04
5470	0.09
5480	0.175
5490	0.32
5500	0.57
5510	0.965
5520	1.57
5530	2.46
5540	3.705
5550	5.355
5560	7.45
5570	10
5580	12.985
5590	16.39
5600	20.12
5610	24
5620	28.03
5630	32.165
5640	36.225
5650	40.155
5660	43.915
5670	47.495
5680	50.835
5690	53.92
5700	56.84
5710	59.435
5720	61.835
5730	63.975
5740	65.91
5750	67.61
5760	69.215
5770	70.575
5780	71.825
5790	72.9
5800	73.895
5810	74.755
5820	75.53
5830	76.19
5840	76.785
5850	77.325
5860	77.77
5870	78.16
5880	78.49
5890	78.82
5900	79.05
5910	79.22
5920	79.44
5930	79.6
5940	79.73
5950	79.825
5960	79.865
5970	79.935
5980	79.99
5990	79.965
6000	79.955
6010	79.915
6020	79.905
6030	79.83
6040	79.735
6050	79.66
6060	79.575
6070	79.45
6080	79.35
6090	79.235
6100	79.065
6110	78.905
6120	78.755
6130	78.595
6140	78.455
6150	78.25
6160	78.03
6170	77.845
6180	77.605
6190	77.495
6200	77.2
6210	76.965
6220	76.75
6230	76.5
6240	76.275
6250	75.995
6260	75.75
6270	75.485
6280	75.195
6290	74.945
6300	74.69
6310	74.445
6320	74.155
6330	73.83
6340	73.555
6350	73.315
6360	72.945
6370	72.71
6380	72.385
6390	72.12
6400	71.83
6410	71.55
6420	71.18
6430	70.895
6440	70.545
6450	70.255
6460	69.905
6470	69.57
6480	69.29
6490	68.96
6500	68.625
6510	68.265
6520	67.96
6530	67.57
6540	67.27
6550	66.86
6560	66.565
6570	66.185
6580	65.91
6590	65.55
6600	65.155
6610	64.81
6620	64.485
6630	64.145
6640	63.8
6650	63.42
6660	63.12
6670	62.7
6680	62.335
6690	61.995
6700	61.595
6710	61.235
6720	60.89
6730	60.495
6740	60.12
6750	59.735
6760	59.33
6770	58.935
6780	58.52
6790	58.07
6800	57.61
6810	57.13
6820	56.72
