wavelength	transmission
4500	-0.005
4510	-0.01
4520	-0.01
4530	-0.005
4540	-0.01
4550	-0.005
4560	-0.005
4570	-0.01
4580	-0.005
4590	-0.005
4600	-0.01
4610	-0.005
4620	0
4630	0
4640	-0.005
4650	-0.005
4660	-0.005
4670	0
4680	-0.005
4690	-0.005
4700	-0.005
4710	-0.005
4720	-0.005
4730	-0.005
4740	-0.005
4750	-0.005
4760	0
4770	0.015
4780	0.065
4790	0.19
4800	0.495
4810	1.155
4820	2.395
4830	4.46
4840	7.52
4850	11.62
4860	16.72
4870	22.49
4880	28.66
4890	35.02
4900	41.23
4910	47.04
4920	52.335
4930	57.07
4940	61.265
4950	64.925
4960	68.095
4970	70.77
4980	73.015
4990	74.975
5000	76.64
5010	78.025
5020	79.19
5030	80.195
5040	81.02
5050	81.755
5060	82.365
5070	82.875
5080	83.285
5090	83.635
5100	83.955
5110	84.2
5120	84.37
5130	84.535
5140	84.625
5150	84.78
5160	84.855
5170	84.89
5180	84.905
5190	84.92
5200	84.9
5210	84.83
5220	84.805
5230	84.705
5240	84.605
5250	84.475
5260	84.365
5270	84.26
5280	84.115
5290	83.945
5300	83.745
5310	83.545
5320	83.335
5330	83.09
5340	82.88
5350	82.575
5360	82.33
5370	82.055
5380	81.735
5390	81.42
5400	81.035
5410	80.685
5420	80.305
5430	79.935
5440	79.525
5450	79.065
5460	78.595
5470	78.125
5480	77.66
5490	77.17
5500	76.555
5510	76.055
5520	75.52
5530	74.93
5540	74.325
5550	73.715
5560	73.045
5570	72.39
5580	71.73
5590	70.99
5600	70.285
5610	69.545
5620	68.735
5630	67.98
5640	67.18
5650	66.355
5660	65.5
5670	64.65
5680	63.755
5690	62.86
5700	62.005
5710	61.025
5720	60.11
5730	59.12
5740	58.13
5750	57.155
5760	56.145
5770	55.125
5780	54.12
5790	53.075
5800	52.055
5810	50.965
5820	49.9
5830	48.81
5840	47.74
5850	46.69
5860	45.595
5870	44.475
5880	43.385
5890	42.305
5900	41.195
5910	40.1
5920	39.035
5930	37.945
5940	36.88
5950	35.8
5960	34.735
5970	33.67
5980	32.64
5990	31.59
6000	30.555
6010	29.52
6020	28.54
6030	27.525
6040	26.535
6050	25.575
6060	24.615
6070	23.685
6080	22.76
6090	21.855
6100	20.965
6110	20.09
6120	19.24
6130	18.425
6140	17.605
6150	16.83
6160	16.065
6170	15.325
6180	14.595
6190	13.905
6200	13.21
6210	12.57
6220	11.915
6230	11.3
6240	10.71
6250	10.145
6260	9.585
6270	9.06
6280	8.545
6290	8.06
6300	7.595
6310	7.14
6320	6.72
6330	6.315
6340	5.92
6350	5.54
6360	5.19
6370	4.855
6380	4.54
6390	4.24
6400	3.95
6410	3.685
6420	3.43
6430	3.18
6440	2.955
6450	2.745
6460	2.535
6470	2.35
6480	2.175
6490	2.01
6500	1.85
6510	1.71
6520	1.57
6530	1.45
6540	1.33
6550	1.215
6560	1.115
6570	1.02
6580	0.935
6590	0.855
6600	0.78
6610	0.71
6620	0.645
6630	0.59
6640	0.535
6650	0.485
6660	0.44
6670	0.4
6680	0.355
6690	0.325
6700	0.29
6710	0.265
6720	0.24
6730	0.215
6740	0.19
6750	0.17
6760	0.155
6770	0.14
6780	0.125
6790	0.11
6800	0.095
6810	0.085
6820	0.075
6830	0.07
6840	0.06
6850	0.055
6860	0.05
6870	0.04
6880	0.035
6890	0.03
6900	0.025
6910	0.02
6920	0.02
6930	0.015
6940	0.015
6950	0.015
6960	0.01
6970	0.01
6980	0.01
6990	0.005
7000	0.01
